network,title,seed,wd,layer_index,layer_name,layer_label,method_name,method_label,wd_value
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,1,features.1.0.block.0.0,f.1.0.b.0.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,1,features.1.0.block.0.0,f.1.0.b.0.0,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,1,features.1.0.block.0.0,f.1.0.b.0.0,ouidecay,OUIDecay,0.00023502518042090985
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,2,features.1.0.block.1.fc1,f.1.0.b.1.fc1,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,2,features.1.0.block.1.fc1,f.1.0.b.1.fc1,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,2,features.1.0.block.1.fc1,f.1.0.b.1.fc1,ouidecay,OUIDecay,8.036736765665815e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,3,features.1.0.block.1.fc2,f.1.0.b.1.fc2,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,3,features.1.0.block.1.fc2,f.1.0.b.1.fc2,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,3,features.1.0.block.1.fc2,f.1.0.b.1.fc2,ouidecay,OUIDecay,4.335278909155895e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,4,features.1.0.block.2.0,f.1.0.b.2.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,4,features.1.0.block.2.0,f.1.0.b.2.0,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,4,features.1.0.block.2.0,f.1.0.b.2.0,ouidecay,OUIDecay,0.00016338714593703565
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,5,features.2.0.block.0.0,f.2.0.b.0.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,5,features.2.0.block.0.0,f.2.0.b.0.0,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,5,features.2.0.block.0.0,f.2.0.b.0.0,ouidecay,OUIDecay,0.00020437099393273491
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,6,features.2.0.block.1.0,f.2.0.b.1.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,6,features.2.0.block.1.0,f.2.0.b.1.0,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,6,features.2.0.block.1.0,f.2.0.b.1.0,ouidecay,OUIDecay,0.000202521855194443
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,7,features.2.0.block.2.fc1,f.2.0.b.2.fc1,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,7,features.2.0.block.2.fc1,f.2.0.b.2.fc1,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,7,features.2.0.block.2.fc1,f.2.0.b.2.fc1,ouidecay,OUIDecay,7.290706500012654e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,8,features.2.0.block.2.fc2,f.2.0.b.2.fc2,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,8,features.2.0.block.2.fc2,f.2.0.b.2.fc2,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,8,features.2.0.block.2.fc2,f.2.0.b.2.fc2,ouidecay,OUIDecay,5.637643832139283e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,9,features.2.0.block.3.0,f.2.0.b.3.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,9,features.2.0.block.3.0,f.2.0.b.3.0,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,9,features.2.0.block.3.0,f.2.0.b.3.0,ouidecay,OUIDecay,0.00021975387809266934
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,10,features.2.1.block.0.0,f.2.1.b.0.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,10,features.2.1.block.0.0,f.2.1.b.0.0,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,10,features.2.1.block.0.0,f.2.1.b.0.0,ouidecay,OUIDecay,0.0002377457479291058
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,11,features.2.1.block.1.0,f.2.1.b.1.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,11,features.2.1.block.1.0,f.2.1.b.1.0,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,11,features.2.1.block.1.0,f.2.1.b.1.0,ouidecay,OUIDecay,0.00023218771293470448
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,12,features.2.1.block.2.fc1,f.2.1.b.2.fc1,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,12,features.2.1.block.2.fc1,f.2.1.b.2.fc1,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,12,features.2.1.block.2.fc1,f.2.1.b.2.fc1,ouidecay,OUIDecay,4.612649154372325e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,13,features.2.1.block.2.fc2,f.2.1.b.2.fc2,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,13,features.2.1.block.2.fc2,f.2.1.b.2.fc2,adadecayg,AdaDecayG,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,13,features.2.1.block.2.fc2,f.2.1.b.2.fc2,ouidecay,OUIDecay,4.5074397396912404e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,14,features.2.1.block.3.0,f.2.1.b.3.0,uniform,WD fijo,5e-05
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,14,features.2.1.block.3.0,f.2.1.b.3.0,adadecayg,AdaDecayG,5e-05
