network,title,seed,wd,snapshot,bin_index,bin_label,layer_start,layer_end,mean_oui,n_layers
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,1,1-7,1,7,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,2,8-14,8,14,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,3,15-21,15,21,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,4,22-28,22,28,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,5,29-35,29,35,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,6,36-42,36,42,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,7,43-49,43,49,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,8,50-56,50,56,5.000000000000001e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,9,57-62,57,62,5e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,10,63-68,63,68,5e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,11,69-74,69,74,5e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Inicio,12,75-80,75,80,5e-05,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Medio,1,1-7,1,7,0.00014327464154249218,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Medio,2,8-14,8,14,0.0001523093020614924,80
efficientnetb0_stanfordcars,EfficientNet-B0 + Stanford Cars,1,5e-05,Medio,3,15-21,15,21,0.00018304699376375553,80
